Full Name,Business Phone,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Aging 30,Aging 60,Aging 90,Anniversary,Annual Income,Assistant,Assistant Phone,Backoffice Customer,Birthday,Childrens Names,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Department,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,Education,E-mail,E-mail Address 2,E-mail Address 3,Employee,Fax,First Name,FTP Site,Gender,Government,Has Children,Home Phone,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Manager,Manager Phone,Marital Status,Middle Name,Mobile Phone,Modified By,Modified On,Nickname,No. of Children,Originating Lead,Owner,Pager,Parent Customer,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Role,Salutation,Send Marketing Materials,Shipping Method,Spouse Name,Status,Status Reason,Suffix,Telephone 3,Territory,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name
Hung-Fu Ting,555-0116,,Redmond,U.S.,,,,,,,,,,,WA,1960 Via Catanzaro,,,,,,,32712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Hung-Fu,,Male,,,,Owner,,Ting,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Mobile Outlet,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Hussain Alshaikh,555-0178,,Seattle,U.S.,,,,,,,,,,,WA,6498 Minert Rd.,,,,,,,48229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Hussain,,Male,,,,Purchasing Assistant,,Alshaikh,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Iben Thorell,555-0147,,Duvall,U.S.,,,,,,,,,,,WA,2598 La Vista Circle,,,,,,,15462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Iben,,Male,,,,Purchasing Manager,,Thorell,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Extras Sporting Goods,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Ingrid Burkhardt,555-0135,,Newport Hills,U.S.,,,,,,,,,,,WA,1400 Gibrix Drive,,,,,,,98996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Ingrid,,Female,,,,Purchasing Manager,,Burkhardt,,,,,K.,,First name Last name,6/26/2007,,,,Alan Jackson,,Bike Universe,,,,Any,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Jake Zukowski,555-0149,,Renton,U.S.,,,,,,,,,,,WA,5670 Bel Air Dr.,,,,,,,74083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jake,,Male,,,,Purchase assistant,,Zukowski,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Flying wheels,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Jan Stoklasa,555-0175,,Issaquah,U.S.,,,,,,,,,,,WA,3848 East 39th Street,,,,,,,78350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jan,,Male,,,,Purchase assistant,,Stoklasa,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Amazing sports store,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Janeth Esteves,555-0138,,Monroe,U.S.,,,,,,,,,,,WA,3841 Silver Oaks Place,,,,,,,11949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Janeth,,Male,,,,Assistant Manager,,Esteves,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Blue Bicycle Company,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Jay Adams,555-0145,,Redmond,U.S.,,,,,,,,,,,WA,3397 Rancho View Drive,,,,,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jay,,Male,,,,Purchasing Assistant,,Adams,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Litware Inc.,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Jeff Teper,555-0189,,Seattle,U.S.,,,,,,,,,,,WA,8656 Lakespring Place,,,,,,,66736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jeff,,Male,,,,Purchasing Assistant,,Teper,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Jelly Vissar,555-0168,,Gold Bar,U.S.,,,,,,,,,,,WA,3884 Bonifacio Street,#14,,,,,,11514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jelly,,Male,,,,Purchase assistant,,Vissar,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Mobile Bike Store,,,,Any,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Jesper Aaberg,555-0173,,Duvall,U.S.,,,,,,,,,,,WA,1825 Corte Del Prado,,,,,,,79928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jesper,,Male,,,,Purchasing Assistant,,Aaberg,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Latest Sports Equipment,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Jim Wilson,555-0128,,Newport Hills,U.S.,,,,,,,,,,,WA,7469 Paraiso Ct.,,,,,,,34247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Jim,,Male,,,,Purchasing Manager,,Wilson,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Northwind Traders,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Jimmy Bischoff,555-0198,,Redmond,U.S.,,,,,,,,,,,WA,2427 Notre Dame Ave.,,,,,,,64660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Do Not Allow,Allow,Allow,,someone@example.com,,,,,Jimmy,,Male,,,,Purchasing Manager,,Bischoff,Default Value,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,World Bike Discount Store,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Joe Andreshak,555-0198,,Seattle,U.S.,,,,,,,,,,,WA,502 Alexander Pl.,,,,,,,98856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Joe,,Male,,,,Office Manager,,Andreshak,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Rider's sports store,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Joe Healy,555-0128,,Seattle,U.S.,,,,,,,,,,,WA,5375 Clearland Circle,,,,,,,86967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Joe,,Male,,,,Purchasing Manager,,Healy,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Ride n Rave Bike store,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Izak Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izak,,,,,,,,Cohen,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Bike Dealers Association,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
John Colon,555-0190,,Sammamish,U.S.,,,,,,,,,,,WA,7086 O St.,,,,,,,42696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,John,,Male,,,,Purchasing Manager,,Colon,Default Value,,,,L.,,First name Last name,6/26/2007,,,,Jose Curry,,Two Wheels Cycle Store,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
John Donovan,555-0135,,Redmond,U.S.,,,,,,,,,,,WA,3066 Wallace Dr.,,,,,,,78508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,John,,Male,,,,Owner,,Donovan,,,,,T.,,First name Last name,6/26/2007,,,,Jose Curry,,Weekend Tours,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
John Solanki,555-0174,,Seattle,U.S.,,,,,,,,,,,WA,874 Olivera Road,,,,,,,54848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,John,,Male,,,,Owner,,Solanki,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
John Woods,555-0133,,Newport Hills,U.S.,,,,,,,,,,,WA,3030 Blackburn Ct.,,,,,,,66096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,John,,Male,,,,Purchasing Manager,,Woods,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,The Cracker Box,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Josh Barnhill,555-0192,,Seattle,U.S.,,,,,,,,,,,WA,7166 Brock Lane,,,,,,,49055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Josh,,Male,,,,Owner,,Barnhill,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Modern Bike Store,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Joy Koski,555-0121,,Sammamish,U.S.,,,,,,,,,,,WA,6202 Seeno St.,,,,,,,52673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Joy,,Female,,,,Owner,,Koski,Default Value,,,,R.,,First name Last name,6/26/2007,,,,Jose Curry,,Scooters and Bikes Store,,,,,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Karan Khanna,555-0133,,Issaquah,U.S.,,,,,,,,,,,WA,342 San Simeon,,,,,,,33545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Karan,,Male,,,,Owner,,Khanna,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Breathtaking sports goods,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Karren Burkhardt,555-0123,,Everett,U.S.,,,,,,,,,,,WA,2294 West 39th St.,,,,,,,28482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Karren,,Female,,,,Purchasing Manager,,Burkhardt,,,,,K.,,First name Last name,6/26/2007,,,,Alan Jackson,,Fifth Bike Store,,,,Any,,,,,,,Ms.,Yes,,,Active,Active,,,Default Value,,,,,
Kevin Kennedy,555-0170,,Everett,U.S.,,,,,,,,,,,WA,1185 Dallis Drive,,,,,,,70780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Kevin,,Male,,,,Manager,,Kennedy,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Front Sporting Goods,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Kevin Liu,555-0145,,Gold Bar,U.S.,,,,,,,,,,,WA,2425 Notre Dame Ave,,,,,,,63081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Kevin,,Male,,,,Purchase assistant,,Liu,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Travel Systems,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Laurence Varlet,555-0157,,Monroe,U.S.,,,,,,,,,,,WA,5734 Ashford Court,,,,,,,93604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Laurence,,Male,,,,Owner,,Varlet,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Bicycle Accessories and Kits,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Lawrence Hurkett,555-0122,,Redmond,U.S.,,,,,,,,,,,WA,1234 Rose Drive,,,,,,,12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Lawrence,,Male,,,,Purchase Manager,,Hurkett,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Ultimate Bike Shop,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Linda Blasingame,555-0116,,Everett,U.S.,,,,,,,,,,,WA,1962 Cunha Ct.,,,,,,,27502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Linda,,Female,,,,Owner,,Blasingame,,,,,E.,,First name Last name,6/26/2007,,,,Gail Erickson,,Travel Systems,,,,Any,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Linda Martin,555-0135,,Issaquah,U.S.,,,,,,,,,,,WA,7772 Golden Meadow,,,,,,,45504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Linda,,Male,,,,Purchase assistant,,Martin,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Superb sports goods,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Louise Tourbo,555-0116,,Renton,U.S.,,,,,,,,,,,WA,7985 Center Street,,,,,,,31242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Louise,,Male,,,,Purchase assistant,,Tourbo,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Rapid sports store,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Luisa Cazzaniga,555-0179,,Seattle,U.S.,,,,,,,,,,,WA,6578 Woodhaven Ln.,,,,,,,32098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Luisa,,Male,,,,Manager,,Cazzaniga,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Madeleine Kelly,555-0145,,Monroe,U.S.,,,,,,,,,,,WA,1356 Grove Way,,,,,,,12255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Madeleine,,Male,,,,Office Manager,,Kelly,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Coalition Bike Company,,,,E-mail,,,,,,,Ms.,Yes,,,Active,Active,,,Default Value,,,,,
Marco Tanara,555-0192,,Renton,U.S.,,,,,,,,,,,WA,7165 Brock Lane,,,,,,,61795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Marco,,Male,,,,Purchase assistant,,Tanara,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Roaring bikes,,,,Any,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Maria Hammond,555-0121,,Duvall,U.S.,,,,,,,,,,,WA,5379 Treasure Island Way,14,,,,,,75958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Maria,,Female,,,,Office Manager,,Hammond,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Lease-a-Bike Shop,,,,,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Marian Berch,555-0128,,Everett,U.S.,,,,,,,,,,,WA,4098 Woodcrest Dr.,,,,,,,58037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Do Not Allow,Allow,Do Not Allow,Allow,,someone@example.com,,,,,Marian,,Female,,,,Purchasing Assistant,,Berch,,,,,M.,,First name Last name,6/26/2007,,,,Gail Erickson,,Margie's Travel,,,,Any,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Marie Reinhart,555-0116,,Seattle,U.S.,,,,,,,,,,,WA,5802 Acacia Drive,,,,,,,35516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Marie,,Female,,,,Purchasing Assistant,,Reinhart,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Bike-o-maniac store,,,,,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Mark Harrington,555-0180,,Redmond,U.S.,,,,,,,,,,,WA,2482 Buckingham Dr.,,,,,,,17659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Mark,,Male,,,,Purchasing Manager,,Harrington,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Metropolitan Sports Supply,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Mark Hassall,555-0171,,Seattle,U.S.,,,,,,,,,,,WA,4598 Manila Avenue,,,,,,,95667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Mark,,Male,,,,Purchasing Manager,,Hassall,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,More Bikes!,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Matthew Miller,555-0135,,Everett,U.S.,,,,,,,,,,,WA,475 Santa Maria,,,,,,,49192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Matthew,,Male,,,,Office Manager,,Miller,,,,,J.,,First name Last name,6/26/2007,,,,Jose Curry,,The Cracker Box,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Megan Davis,555-0165,,Everett,U.S.,,,,,,,,,,,WA,9008 Creekside Drive,,,,,,,33498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Do Not Allow,Allow,Allow,Allow,,someone@example.com,,,,,Megan,,Female,,,,Purchasing Assistant,,Davis,,,,,N.,,First name Last name,6/26/2007,,,,Gail Erickson,,Rugged Bikes,,,,,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Michael Alexander,555-0138,,Seattle,U.S.,,,,,,,,,,,WA,7616 Honey Court,,,,,,,33639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Michael,,Male,,,,Purchasing Assistant,,Alexander,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Michael Allen,555-0137,,Duvall,U.S.,,,,,,,,,,,WA,9693 Mellowood Street,,,,,,,80387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Michael,,Male,,,,Owner,,Allen,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Great Bikes,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Michael Fredericksen,555-0132,,Seattle,U.S.,,,,,,,,,,,WA,8290 Margaret Ct.,,,,,,,89764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Michael,,Male,,,,Purchasing Assistant,,Fredericksen,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Michael Ruggiero,555-0190,,Duvall,U.S.,,,,,,,,,,,WA,991 Vista Verde,,,,,,,67776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Michael,,Male,,,,Purchasing Assistant,,Ruggiero,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Major Sport Suppliers,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Michael Vanderhyde,555-0142,,Redmond,U.S.,,,,,,,,,,,WA,2137 Birchwood Dr,,,,,,,78214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Michael,,Male,,,,Purchasing Assistant,,Vanderhyde,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Solid Bike Parts,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Michel Pereira,555-0135,,Seattle,U.S.,,,,,,,,,,,WA,1619 Stillman Court,,,,,,,90792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Michel,,Male,,,,Purchasing Assistant,,Pereira,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Very economic Bikes,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Mike Hines,555-0135,,Redmond,U.S.,,,,,,,,,,,WA,1275 West Street,,,,,,,93479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Mike,,Male,,,,Owner,,Hines,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Northwind Traders,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Mike Miller,555-0165,,Monroe,U.S.,,,,,,,,,,,WA,4734 Sycamore Court,,,,,,,75798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Mike,,Female,,,,Purchasing Manager,,Miller,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,All Cycle Shop,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Mike Ray,555-0149,,Carnation,U.S.,,,,,,,,,,,WA,9752 Jeanne Circle,,,,,,,41297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Mike,,Male,,,,Purchasing Assistant,,Ray,,,,,,,First name Last name,6/26/2007,,,,Gail Erickson,,Metro Bike Works,,,,,,,,,,,Mr.,Yes,,,Active,Active,,,,,,,,
Molly Dempsey,555-0154,,Seattle,U.S.,,,,,,,,,,,WA,2354 Frayne Ln.,,,,,,,27962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Molly,,Male,,,,Owner,,Dempsey,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,,,,,E-mail,,,,,,,Mr.,Yes,,,Active,Active,,,Default Value,,,,,
Monika Buschman,555-0128,,Snohomish,U.S.,,,,,,,,,,,WA,4852 Chaparral Court,,,,,,,39243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Monika,,Male,,,,Purchasing Manager,,Buschman,,,,,,,First name Last name,6/26/2007,,,,Jose Curry,,Bike Experts,,,,E-mail,,,,,,,Ms.,Yes,,,Active,Active,,,Default Value,,,,,
Nicky Chesnut,555-0121,,Everett,U.S.,,,,,,,,,,,WA,1362 Somerset Place,,,,,,,74830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Do Not Allow,Allow,Allow,,someone@example.com,,,,,Nicky,,Female,,,,Purchasing Manager,,Chesnut,,,,,E.,,First name Last name,6/26/2007,,,,Alan Jackson,,Full-Service Bike Store,,,,E-mail,,,,,,,Ms.,Yes,,,Active,Active,,,,,,,,
Nino Olivotto,555-0137,,Issaquah,U.S.,,,,,,,,,,,WA,6580 Piper Ridge Court,,,,,,,55623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First name Last name,6/26/2007,,,,,,,,Allow,Allow,Allow,Allow,,someone@example.com,,,,,Nino,,Male,,,,Owner,,Olivotto,,,,,,,First name Last name,6/26/2007,,,,Alan Jackson,,Life-Style bikes,,,,Any,,,,,,,Ms.,Yes,,,Active,Active,,,Default Value,,,,,
