Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Owner,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second
Orlando Gee,A Bike Store,,Default Value,,,,,,,,555-0159,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Bothell,U.S.,First name Last name,6/26/2007 11:50,,"Recontact them, their situation has changed.",,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Orlando,,Entertainment Retail,Owner,,Gee,,N.,,First name Last name,6/26/2007 11:50,2,,Gail Erickson,,Fax,,Warm,,Mr.,Yes,,,WA,Open,New,1001 SouthWest Ave.,Suite 100,,Store is expanding - send new literature,,,,,,20937,0,9,29,21,42,45
Olga Stevens,Maintenance and Repair for Bicycles,,Default Value,,,,,,,,555-0199,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Bothell,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Olga,,Entertainment Retail,Purchasing Manager,,Stevens,Other,M.,,First name Last name,6/26/2007 11:50,42,,Alan Jackson,,Any,,Hot,,Ms.,Yes,,,WA,Open,New,6778 Lucky Drive,,,Mailed an interest card back for road bikes,,,,,,20937,0,9,29,21,42,45
Nieves Vargas,Exhilarating Cycles,,Default Value,,,,,,,,555-0177,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Simi valley,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Nieves,,Entertainment Retail,Purchasing Assistant,,Vargas,Other,J.,,First name Last name,6/26/2007 11:50,43,,Patricia San Juan,,Any,,Warm,,Mr.,Yes,,,CA,Open,New,Arrowwood Center,,,New store opened this year - follow up,,,,,,20441,0,8,14,21,42,45
Nicky Chesnut,Full-Service Bike Store,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Winston-Salem,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Nicky,,Entertainment Retail,Purchasing Manager,,Chesnut,Web,E.,,First name Last name,6/26/2007 11:50,39,,Jose Curry,,Any,,Warm,,Ms.,Yes,,,NC,Qualified,Qualified,890123 54th St. S,,,"36 touring bikes, 2000 series in several sizes",,,,,,47349,0,8,14,21,42,45
Nancy Hirota,Seventh Bike Store,,Default Value,,,,,,,,555-0162,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Hamden,U.S.,First name Last name,6/26/2007 11:50,,4 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Nancy,,Entertainment Retail,Owner,,Hirota,Advertisement,E.,,First name Last name,6/26/2007 11:50,2,,Patricia San Juan,,Any,,Hot,,Ms.,Yes,,,CT,Open,New,4567 123rd NE,,,Will be ordering about 4 bikes this year.,,,,,,85393,0,8,14,21,42,45
Mike Hines,Northwind Traders,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Laredo,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Mike,,Entertainment Retail,Owner,,Hines,Employee Referral,,,First name Last name,6/26/2007 11:50,6,,Alan Jackson,,Fax,,Warm,,Mr.,Yes,,,TX,Qualified,Qualified,567 Kennedy Boulevard,,,3 road and touring bikes,,,,,,98291,0,8,29,21,42,45
Mike Danseglio,Professional Sporting Goods,,Default Value,,,,,,,,555-0164,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Millington,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"96,000.00",,Mike,,Entertainment Retail,Purchasing Assistant,,Danseglio,Other,,,First name Last name,6/26/2007 11:50,94,,Patricia San Juan,,Mail,,Hot,,Mr.,Yes,,,TN,Open,New,4321 SE Phillips Ferry Highway,,,Mailed an interest card back for road bikes,,,,,,58299,0,8,29,21,42,45
Mike Choi,Grand Discount Store,,Default Value,,,,,,,,555-0189,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Mansfield,U.S.,First name Last name,6/26/2007 11:50,,188 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"3,600.00",,Mike,,Entertainment Retail,Purchasing Assistant,,Choi,Advertisement,M.,,First name Last name,6/26/2007 11:50,94,,Patricia San Juan,,Fax,,Hot,,Mr.,Yes,,,OH,Open,New,John Winter Mall,,,Will be ordering about 188 bikes this year.,,,,,,55030,1,-2,23,21,42,45
Michael Vanderhyde,Solid Bike Parts,,Default Value,,,,,,,,555-0168,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Denver,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"54,000.00",,Michael,,Entertainment Retail,Purchasing Assistant,,Vanderhyde,Other,,,First name Last name,6/26/2007 11:50,99,,Alan Jackson,,E-mail,,Cold,,Mr.,Yes,,,CO,Qualified,Qualified,Northwest Colorado Blvd.,,,Likes the Touring-2000,,,,,,10046,1,-2,23,21,42,45
Megan Davis,Rugged Bikes,,Default Value,,,,,,,,555-0134,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Upland,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"96,000.00",,Megan,,Entertainment Retail,Purchasing Assistant,,Davis,Other,N.,,First name Last name,6/26/2007 11:50,95,,Gail Erickson,,E-mail,,Hot,,Ms.,Yes,,,CA,Qualified,Qualified,MOUNTAIN SQUARE,,,47 Mountain-400 and Mountain-400-W.,,,,,,20313,1,-1,12,21,42,45
Matthew Hink,Running and Cycling Gear,,Default Value,,,,,,,,555-0131,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Somerset,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Matthew,,Entertainment Retail,Owner,,Hink,Employee Referral,,,First name Last name,6/26/2007 11:50,4,,Gail Erickson,,Any,,Warm,,Mr.,Yes,,,KY,Open,New,45677 Valley Way,,,10 mountain bikes,,,,,,62747,1,-1,22,21,42,45
Matthew Hagemann,Games and Sport Supply Company,,Default Value,,,,,,,,555-0119,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Fremont,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"36,000.00",,Matthew,,Entertainment Retail,Purchasing Manager,,Hagemann,Other,M.,,First name Last name,6/26/2007 11:50,48,,Patricia San Juan,,Any,,Cold,,Mr.,Yes,,,CA,Open,New,4567 Hoover Road,Ste. 100,,Good prospect for frames,,,,,,10466,1,-2,23,21,42,45
Marvin Allen,Mountain Toy Store,,Default Value,,,,,,,,555-0195,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Federal Way,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"22,000.00",,Marvin,,Entertainment Retail,Owner,,Allen,Other,N.,,First name Last name,6/26/2007 11:50,17,,Alan Jackson,,Fax,,Warm,,Mr.,Yes,,,WA,Open,New,222 SOUTH 314TH STREET,,,New store opened this year - follow up,,,,,,20935,0,9,29,21,42,45
Mark Harrington,Metropolitan Sports Supply,,Default Value,,,,,,,,555-0155,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Oklahoma City,U.S.,First name Last name,6/26/2007 11:50,,"Recontact them, their situation has changed.",,Allow,Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Mark,,Entertainment Retail,Purchasing Manager,,Harrington,,,,First name Last name,6/26/2007 11:50,13,,Gail Erickson,,Any,,Warm,,Mr.,Yes,,,OK,Qualified,Qualified,45671 City Street,,,160 Road-450,,,,,,66496,0,9,29,21,42,45
Marian Berch,Margie's Travel,,Default Value,,,,,,,,555-0103,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Bell Gardens,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"96,000.00",,Marian,,Entertainment Retail,Purchasing Assistant,,Berch,Other,M.,,First name Last name,6/26/2007 11:50,90,,Gail Erickson,,E-mail,,Hot,,Ms.,Yes,,,CA,Qualified,Qualified,123 Eastern Ave.,,,Interested in 45 Mountain Bikes,,,,,,10032,0,8,14,21,42,45
Margaret Adams,Bicycle Accessories and Kits,,Default Value,,,,,,,,555-0133,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Spokane,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Margaret,,Entertainment Retail,Owner,,Adams,Web,J.,,First name Last name,6/26/2007 11:50,9,,Gail Erickson,,Any,,Warm,,Ms.,Yes,,,WA,Open,New,71890 Main Street,,,They have an on-line store only for mountain bikes,,,,,,20955,0,8,29,21,42,45
Mae Black,Historic Bicycle Sales,,Default Value,,,,,,,,555-0164,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Vacaville,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Mae,,Entertainment Retail,Purchasing Manager,,Black,Other,M.,,First name Last name,6/26/2007 11:50,40,,Patricia San Juan,,E-mail,,Hot,,Ms.,Yes,,,CA,Open,New,98775 Main Street,,,Mailed an interest card back for road bikes,,,,,,20704,1,1,22,21,42,45
Luis Bonifaz,Economy Bikes Company,,Default Value,,,,,,,,555-0161,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Huntsville,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"44,000.00",,Luis,,Entertainment Retail,Purchasing Manager,,Bonifaz,Other,,,First name Last name,6/26/2007 11:50,43,,Gail Erickson,,E-mail,,Warm,,Sr.,Yes,,,AL,Open,New,234 Electric Blvd.,,,New store opened this year - follow up,,,,,,20717,1,0,23,21,42,45
Linda Blasingame,Travel Systems,,Default Value,,,,,,,,555-0100,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",San Ramon,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Linda,,Entertainment Retail,Owner,,Blasingame,Employee Referral,E.,,First name Last name,6/26/2007 11:50,19,,Alan Jackson,,Fax,,Warm,,Ms.,Yes,,,CA,Qualified,Qualified,Canyon Park Ave,Ste. 123,,160 bikes.,,,,,,20593,0,10,14,21,42,45
Lee Chapla,Good Bike Shop,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Cedar Park,U.S.,First name Last name,6/26/2007 11:50,,28 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Lee,,Entertainment Retail,Owner,,Chapla,Advertisement,J.,,First name Last name,6/26/2007 11:50,14,,Jose Curry,,Any,,Hot,,Mr.,Yes,,,TX,Open,New,LAKE MALL,Ste. 500,,Will be ordering about 28 bikes this year.,,,,,,88736,0,10,14,21,42,45
Lawrence Hurkett,Retail Sporting Goods,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Greensboro,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"34,500.00",,Lawrence,,Entertainment Retail,Purchasing Assistant,,Hurkett,Employee Referral,E.,,First name Last name,6/26/2007 11:50,92,,Gail Erickson,,E-mail,,Warm,,Mr.,Yes,,,NC,Open,New,123 Green St. NE,,,100 mountain bikes,,,,,,47666,0,10,14,21,42,45
Kirk DeGrasse,Outdoor Equipment Store,,Default Value,,,,,,,,555-0122,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Reno,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"34,500.00",,Kirk,,Entertainment Retail,Purchasing Assistant,,DeGrasse,Employee Referral,,,First name Last name,6/26/2007 11:50,89,,Patricia San Juan,,Any,,Warm,,Mr.,Yes,,,NV,Open,New,7788 Autumn Drive,,,100 mountain bikes,,,,,,12789,0,11,29,21,42,45
Kimberly Harrington,Exemplary Cycles,,Default Value,,,,,,,,555-0186,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Kent,U.S.,First name Last name,6/26/2007 11:50,,"Recontact them, their situation has changed.",,Allow,Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Kimberly,,Entertainment Retail,Purchasing Manager,,Harrington,,Beth,,First name Last name,6/26/2007 11:50,16,,Patricia San Juan,,Fax,,Warm,,Ms.,Yes,,,WA,Open,New,678 Brown St.,,,Store is expanding - send new literature,,,,,,20939,1,0,23,21,42,45
Kendra Thompson,Vintage Sport Boutique,,Default Value,,,,,,,,555-0199,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Phoenix,U.S.,First name Last name,6/26/2007 11:50,,4 bikes this year.,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Kendra,,Entertainment Retail,Owner,,Thompson,Advertisement,N.,,First name Last name,6/26/2007 11:50,2,,Gail Erickson,,Any,,Hot,,Ms.,Yes,,,AZ,Disqualified,Lost,4567 Main Ave. W,,,Will be ordering about 4 bikes this year.,,,,,,10526,1,0,23,21,42,45
Ken Kwok,Largest Bike Store,,Default Value,,,,,,,,555-0102,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Boise,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Ken,,Entertainment Retail,Owner,,Kwok,Web,,,First name Last name,6/26/2007 11:50,7,,Alan Jackson,,Any,,Warm,,Mr.,Yes,,,ID,Open,New,3456 8th St.,,,They have an on-line store only for mountain bikes,,,,,,89067,1,0,23,21,42,45
Kayla Stotler,Major Sporting Goods,,Default Value,,,,,,,,555-0158,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Park City,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Kayla,,Entertainment Retail,Purchasing Manager,,Stotler,Employee Referral,M.,,First name Last name,6/26/2007 11:50,36,,Patricia San Juan,,Any,,Warm,,Ms.,Yes,,,UT,Open,New,67890 Shady Lane,,,50 mountain bikes,,,,,,10434,1,1,12,21,42,45
Karren Burkhardt,Fifth Bike Store,,Default Value,,,,,,,,555-0160,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Indianapolis,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"36,000.00",,Karren,,Entertainment Retail,Purchasing Manager,,Burkhardt,Other,K.,,First name Last name,6/26/2007 11:50,25,,Gail Erickson,,Fax,,Cold,,Ms.,Yes,,,IN,Qualified,Qualified,2332 Flower Street,,,Mountain Bikes - maybe 50,,,,,,66496,1,1,12,21,42,45
Karel Bates,Bike Boutique,,Default Value,,,,,,,,555-0159,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Michigan City,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Karel,,Entertainment Retail,Purchasing Assistant,,Bates,Other,E.,,First name Last name,6/26/2007 11:50,49,,Patricia San Juan,,Fax,,Warm,,Ms.,Yes,,,IN,Open,New,67 North Willow Street,,,New store opened this year - follow up,,,,,,66606,1,3,13,21,42,45
Judy Lew,Go-cart and Bike Specialists,,Default Value,,,,,,,,555-0175,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Salt Lake City,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"76,500.00",,Judy,,Entertainment Retail,Purchasing Assistant,,Lew,Web,,,First name Last name,6/26/2007 11:50,90,,Jose Curry,,Any,,Warm,,Ms.,Yes,,,UT,Open,New,3112 South 45th,,,They have an on-line store only for mountain bikes,,,,,,10436,0,10,14,21,42,45
Judith Frazier,Convenient Bike Shop,,Default Value,,,,,,,,555-0165,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Bell Gardens,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Judith,,Entertainment Retail,Purchasing Manager,,Frazier,Web,B.,,First name Last name,6/26/2007 11:50,46,,Patricia San Juan,,E-mail,,Warm,,Ms.,Yes,,,CA,Open,New,123 Western Avenue,,,They have an on-line store only for mountain bikes,,,,,,20155,1,3,13,21,42,45
Joy Koski,Scooters and Bikes Store,,Default Value,,,,,,,,555-0169,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",San Antonio,U.S.,First name Last name,6/26/2007 11:50,,28 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Joy,,Entertainment Retail,Owner,,Koski,Advertisement,R.,,First name Last name,6/26/2007 11:50,14,,Jose Curry,,E-mail,,Hot,,Ms.,Yes,,,TX,Qualified,Qualified,56789 Stars Roadway,,,They sell lots of accessories; get them the complete catalog,,,,,,20175,0,10,14,21,42,45
Jovita Carmody,Sports Commodities,,Default Value,,,,,,,,555-0128,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Everett,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Jovita,,Entertainment Retail,Purchasing Manager,,Carmody,Employee Referral,A.,,First name Last name,6/26/2007 11:50,32,,Gail Erickson,,Fax,,Warm,,Ms.,Yes,,,WA,Open,New,89123 Broken Branch Drive,,,50 mountain bikes,,,,,,20955,0,10,29,21,42,45
John Long,Exotic Bikes,,Default Value,,,,,,,,555-0188,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Maryville,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,John,,Entertainment Retail,Purchasing Assistant,,Long,Other,K.,,First name Last name,6/26/2007 11:50,73,,Patricia San Juan,,Fax,,Warm,,Mr.,Yes,,,TN,Disqualified,Lost,6789 45th St. SW,,,New store opened this year - follow up,,,,,,58047,0,10,29,21,42,45
John Donovan,Weekend Tours,,Default Value,,,,,,,,555-0149,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Laredo,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"22,000.00",,John,,Entertainment Retail,Owner,,Donovan,Other,T.,,First name Last name,6/26/2007 11:50,9,,Jose Curry,,E-mail,,Warm,,Mr.,Yes,,,TX,Qualified,Qualified,321 SE 56th STREET,,,10-15 Touring Bikes this spring,,,,,,20935,0,11,29,21,42,45
John Colon,Two Wheels Cycle Store,,Default Value,,,,,,,,555-0146,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Millington,U.S.,First name Last name,6/26/2007 11:50,,26 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"2,400.00",,John,,Entertainment Retail,Purchasing Manager,,Colon,Advertisement,L.,,First name Last name,6/26/2007 11:50,13,,Gail Erickson,,Any,,Hot,,Mr.,Yes,,,TN,Qualified,Qualified,7890 Bell Avenue,,,27 touring bikes,,,,,,58299,0,11,29,21,42,45
Jimmy Bischoff,World Bike Discount Store,,Default Value,,,,,,,,555-0163,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Millington,U.S.,First name Last name,6/26/2007 11:50,,76 bikes this year.,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"2,400.00",,Jimmy,,Entertainment Retail,Purchasing Manager,,Bischoff,Advertisement,,,First name Last name,6/26/2007 11:50,38,,Gail Erickson,,Phone,,Hot,,Mr.,Yes,,,TN,Qualified,Qualified,5678 100th Ave,,,114 bikes of various models.,,,,,,58299,1,0,23,21,42,45
Jeffrey Kurtz,Many Bikes Store,,Default Value,,,,,,,,555-0191,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Boise,U.S.,First name Last name,6/26/2007 11:50,,12 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Jeffrey,,Entertainment Retail,Owner,,Kurtz,Advertisement,,,First name Last name,6/26/2007 11:50,6,,Gail Erickson,,Any,,Hot,,Mr.,Yes,,,ID,Disqualified,Lost,45678 46th Ave West,Super Mall,,Will be ordering about 12 bikes this year.,,,,,,71983,1,0,23,21,42,45
Jeanie Glenn,Big-Time Bike Store,,Default Value,,,,,,,,555-0157,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Spokane,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"34,500.00",,Jeanie,,Entertainment Retail,Purchasing Assistant,,Glenn,Employee Referral,R.,,First name Last name,6/26/2007 11:50,96,,Gail Erickson,,Mail,,Warm,,Ms.,Yes,,,WA,Open,New,456 N DIVISION ST,,,100 mountain bikes,,,,,,21056,1,1,12,21,42,45
Jeanette Cole,Famous Bike Sales and Service,,Default Value,,,,,,,,555-0124,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Santa Ana,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Jeanette,,Entertainment Retail,Purchasing Manager,,Cole,Employee Referral,R.,,First name Last name,6/26/2007 11:50,25,,Patricia San Juan,,E-mail,,Warm,,Ms.,Yes,,,CA,Open,New,3 East Pecan Dr.,,,33 mountain bikes,,,,,,20405,1,3,13,21,42,45
Jay Adams,"Litware, Inc.",,Default Value,,,,,,,,555-0108,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",HoU.S.ton,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"54,000.00",,Jay,,Entertainment Retail,Purchasing Assistant,,Adams,Other,,,First name Last name,6/26/2007 11:50,66,,Alan Jackson,,Any,,Cold,,Mr.,Yes,,,TX,Qualified,Qualified,990 Mountain Hill Blvd,,,"Wants literature on touring frames, bikes, and saddles.",,,,,,97300,0,10,29,21,42,45
Janet Gates,Modular Cycle Systems,,Default Value,,,,,,,,555-0117,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Puyallup,U.S.,First name Last name,6/26/2007 11:50,,"Recontact them, their situation has changed.",,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Janet,,Entertainment Retail,Owner,,Gates,,M.,,First name Last name,6/26/2007 11:50,5,,Alan Jackson,,Mail,,Warm,,Ms.,Yes,,,WA,Open,New,1234 MERIDIAN BLVD EAST,,,Store is expanding - send new literature,,,,,,20972,1,0,23,21,42,45
Jan Miksovsky,Village Tours,,Default Value,,,,,,,,555-0131,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Memphis,U.S.,First name Last name,6/26/2007 11:50,,74 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"2,400.00",,Jan,,Entertainment Retail,Purchasing Manager,,Miksovsky,Advertisement,,,First name Last name,6/26/2007 11:50,37,,Patricia San Juan,,Any,,Hot,,Mr.,Yes,,,TN,Open,New,21 West Avon Road,Suite 201,,Will be ordering about 74 bikes this year.,,,,,,58364,1,1,12,21,42,45
James Thomas,Retirement Activities Association,,Default Value,,,,,,,,555-0126,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Fort Wayne,U.S.,First name Last name,6/26/2007 11:50,,16 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,James,,Entertainment Retail,Owner,,Thomas,Advertisement,R.,,First name Last name,6/26/2007 11:50,8,,Patricia San Juan,,Mail,,Hot,,Mr.,Yes,,,IN,Open,New,4567 Iron Road,,,Will be ordering about 16 bikes this year.,,,,,,67051,1,1,12,21,42,45
Ingrid Burkhardt,Bike Universe,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Round Rock,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"36,000.00",,Ingrid,,Entertainment Retail,Purchasing Manager,,Burkhardt,Other,K.,,First name Last name,6/26/2007 11:50,28,,Gail Erickson,,Mail,,Cold,,Ms.,Yes,,,TX,Qualified,Qualified,56789 Bright Road,,,Interested in 14 mountain bikes.,,,,,,98928,1,3,13,21,42,45
Hung-Fu Ting,Mobile Outlet,,Default Value,,,,,,,,555-0167,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Fort Worth,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Hung-Fu,,Entertainment Retail,Owner,,Ting,Employee Referral,,,First name Last name,6/26/2007 11:50,10,,Alan Jackson,,E-mail,,Warm,,Mr.,Yes,,,TX,Qualified,Qualified,5678 Liberty Road,,,10 road and touring bikes.,,,,,,96424,0,10,14,21,42,45
